,ner
510,"['phát triển', 'myanmar', 'ngân hàng', 'yangon chi', 'nhnn', 'và', 'đầu tư', 'bidv', 'tmcp', 'nhà nước', 'việt nam']"
511,"['nguyễn thị cúc', 'andy ho', 'cúc', 'chris freund tổng giám đốc', 'lê quang phúc', 'thái lan', 'quỹ mekong capital', 'quản lý', 'lê hữu hạnh', 'việt nam', 'phan quốc công', 'trung quốc', 'donga bank', 'dung', 'công ty', 'đông á', 'chris', 'ngân hàng', 'phạm văn tân', 'pnj', 'cao thị ngọc dung']"
512,"['fpt', 'nguyễn thế phương', 'tập đoàn', 'trương gia bình chủ tịch', 'báo', 'đầu tư', 'bình']"
513,"['thành lập', 'bình hưng thành', 'lào cai', 'kỳ anh', 'gia lâm', 'phan trọng tuệ', 'xá thành', 'n5', 'hoài đức', 'đường', 'hà tĩnh', 'thị trấn', 'huỳnh tấn phát', 'văn điển thành', 'thành', 'la phù', 'phạm hùng', 'bình hưng', 'nam', 'hoà đức', 'nhà bè', 'huyện', 'xã', 'thanh trì', 'lô', 'đặng xá', 'hoà xá', 'mỹ', 'kcn', 'thành phố', 'tỉnh', 'hà nội', 'sa pa']"
518,['ubcknn']
520,['ubcknn']
521,['ubcknn']
522,[]
523,"['phát triển', 'ngân hàng', 'hà nội', 'và', 'đầu tư', 'bidv', 'việt nam', 'mhb']"
525,"['cổ phần', 'công ty', 'đá quý', 'ngân hàng', 'đông á donga bank', 'vàng bạc', 'pnj', 'phú nhuận']"
526,"['sài gòn', 'hưng', 'tp', 'dragon capital', 'chứng khoán', 'ctcp', 'hcm', 'ssi']"
527,"['hose', 'hà nội', 'ssi', 'vn', 'ssiam', 'nguyễn duy hưng chủ tịch', 'index']"
529,"['dung quất ngọc khánh', 'bắc hà', 'lào cai', 'hậu duyên hải cửu', 'vị thanh', 'sông', 'hiệp phú sài gòn', 'tmcp', 'nhà nước', 'phát triển', 'sài gòn', 'dương đông rạch giá', 'châu đốc', 'đầu tư', 'cát lái sài gòn', 'việt nam', 'bình thạnh', 'minh hải cao lãnh', 'ngân hàng', 'bình điền sài gòn', 'và', 'châu thành', 'đồng đăng bắc hà']"
532,['stb']
534,"['bidv', 'nhnn']"
535,"['nhật bản', 'fpt']"
536,"['phạm thị mỹ hạnh', 'nhu', 'pnj']"
537,['fpt']
539,"['nhà nước', 'ngân hàng']"
540,"['tài', 'samsung', 'apple', 'nguyễn kim', 'tp', 'a', 'cà mau', 'bob', 'móng cái', 'hcm', 'nguyễn đức tài', 'bob willett', 'việt nam', 'htc']"
541,"['tài chính', 'việc', 'bộ', 'bidv', 'việt nam']"
542,"['cửu long', 'sông', 'bidv', 'tây nguyên', 'đồng bằng']"
543,"['chính', 'tỷ', 'nhà nước', 'bộ', 'nhnn', 'việt nam', 'nam', 'nợ', 'bộ', 'bidv', 'việt', 'tài', 'ro', 'tài chính', 'thế giới', 'ngân hàng', 'wb', 'việc', 'cụ']"
544,"['phát triển', 's', 'đầu tư', 'ngân hàng', 'vamc', 'và', 'moody', 'bidv', '’', 'nhà nước', 'việt nam']"
545,"['phát triển', 's', 'đầu tư', 'ngân hàng', 'vamc', 'và', 'moody', 'bidv', '’', 'nhà nước', 'việt nam']"
546,"['fpt', 'nhật']"
547,['pnj']
548,"['mũi tấn', 'nhơn hải', 'cổ phần', 'khu', 'công ty', 'quy nhon jsc', 'tập đoàn', 'vinpearl quy nhơn vinpearl', 'nhơn hạng', 'bình định', 'tỉnh', 'tp quy', 'ubnd', 'du lịch', 'bán đảo', 'vingroup', 'vingruop', 'vinpearl']"
550,"['nguyễn đăng quang chủ tịch', 'nông nghiệp', 'singha tuy', 'anco', 'kỹ nghệ', 'masan nutri science mns', 'uniben masan consumer', 'thái lan', 'mns', 'masan consumer theo', 'súc sản', 'msn', 'vissan', 'người', 'việt nam', 'mtv', 'công ty', 'quang', 'ctcp', 'kido kdc', 'quốc tế', 'thái', 'dinh dưỡng', 'uniben', 'tập đoàn', 'masan consumer', 'phạm phú ngọc trai', 'tnhh']"
551,"['vingroup', 'tập đoàn', 'vingroup mã ck vic']"
552,"['hose', 'hnx']"
553,"['hose', 'hnx']"
554,['fpt']
555,"['thế giới', 'ctcp', 'di động', 'đầu tư', 'mwg']"
